"product_name","list_price","total_orders"
Electra Townie Original 1 Ladies' - 2018,449.99,3
Strider Sport 16 - 2018,249.99,3
Trek Precaliber 20 Girl's - 2018,229.99,3
Surly Pack Rat Frameset - 2018,469.99,3
Trek Kids' Neko - 2018,469.99,3
Electra Townie Original 21D Ladies' - 2018,559.99,3
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,899.99,3
Trek Precaliber 24 (7-Speed) - Boys - 2018,319.99,3
Electra Cruiser Lux 1 - 2016/2018,429.99,3
Trek Domane AL 2 - 2018,749.99,2
Electra Cruiser 7D Tall - 2016/2018,319.99,2
Trek Precaliber 24 21-speed Boy's - 2018,369.99,2
Trek Marlin 7 - 2017/2018,749.99,2
Electra Cruiser Lux 3i Ladies' - 2018,529.99,2
Trek Precaliber 20 Boy's - 2018,229.99,2
Electra Townie Commute 27D - 2018,899.99,2
Electra Cruiser Lux Fat Tire 7D - 2018,639.99,2
Trek X-Caliber 8 - 2018,999.99,2
Trek Domane AL 3 - 2018,919.99,2
Trek Precaliber 20 6-speed Boy's - 2018,289.99,2
Electra Townie Original 21D - 2018,559.99,2
Electra Cruiser Lux 7D Ladies' - 2018,479.99,2
Electra Townie Original 7D EQ - 2018,599.99,2
Electra Cruiser 7D Ladies' - 2016/2018,319.99,2
Trek Marlin 6 - 2018,579.99,2
Electra Townie Original 3i EQ Ladies' - 2018,639.99,2
Trek Precaliber 16 Boy's - 2018,209.99,1
Electra Cruiser 7D - 2016/2017/2018,319.99,1
Trek Superfly 24 - 2017/2018,489.99,1
Electra Cruiser 1 Tall - 2016/2018,269.99,1
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,369.99,1
Trek Superfly 20 - 2018,399.99,1
Electra Soft Serve 1 (16-inch) - Girl's - 2018,279.99,1
Electra Straight 8 1 (16-inch) - Boy's - 2018,279.99,1
Surly ECR Frameset - 2018,749.99,1
Trek Precaliber 20 6-speed Girl's - 2018,289.99,1
"Electra Superbolt 1 20"" - 2018",319.99,1
Trek Precaliber 24 7-speed Girl's - 2018,319.99,1
Electra Straight 8 1 (20-inch) - Boy's - 2018,389.99,1
Trek MT 201 - 2018,249.99,1
Trek Precaliber 24 21-speed Girl's - 2018,369.99,1
"Electra Treasure 3i 20"" - 2018",369.99,1
"Electra Superbolt 3i 20"" - 2018",369.99,1
